,High
2015-02-11,963.1500244140624
2015-02-12,970.0599975585938
2015-02-13,960.4000244140624
2015-02-14,962.75
2015-02-15,968.9199829101562
2015-02-16,971.3800048828124
2015-02-17,975.2000122070312
2015-02-18,981.0
2015-02-19,999.0
2015-02-20,998.6500244140624
2015-02-21,1001.2000122070312
2015-02-22,1000.1199951171876
2015-02-23,998.989990234375
2015-02-24,1008.47998046875
2015-02-25,1013.2100219726562
2015-02-26,1016.5
2015-02-27,1010.25
2015-02-28,1013.6099853515624
2015-03-01,1012.989990234375
2015-03-02,975.9500122070312
2015-03-03,984.5
2015-03-04,990.3400268554688
2015-03-05,965.72998046875
2015-03-06,999.75
2015-03-07,1017.0
2015-03-08,1004.8800048828124
2015-03-09,1002.719970703125
2015-03-10,1006.9600219726562
2015-03-11,1004.6199951171876
2015-03-12,1009.7999877929688
2015-03-13,998.7999877929688
2015-03-14,990.6799926757812
2015-03-15,987.5599975585938
2015-03-16,983.469970703125
2015-03-17,974.489990234375
2015-03-18,975.0
2015-03-19,974.4000244140624
2015-03-20,980.1099853515624
2015-03-21,999.4400024414062
2015-03-22,995.989990234375
2015-03-23,1008.5499877929688
2015-03-24,1006.8800048828124
2015-03-25,1004.4500122070312
2015-03-26,1014.75
2015-03-27,1026.030029296875
2015-03-28,1031.5899658203123
2015-03-29,1034.969970703125
2015-03-30,1026.0999755859377
2015-03-31,1043.010009765625
2015-04-01,1043.3299560546877
2015-04-02,1053.199951171875
2015-04-03,1083.31005859375
2015-04-04,1032.8499755859377
2015-04-05,1019.0499877929688
2015-04-06,1006.4000244140624
2015-04-07,1003.2100219726562
2015-04-08,999.5
2015-04-09,991.6699829101562
2015-04-10,995.0
2015-04-11,996.280029296875
2015-04-12,988.0
2015-04-13,979.8599853515624
2015-04-14,970.3900146484376
2015-04-15,985.5
2015-04-16,991.739990234375
2015-04-17,986.4600219726562
2015-04-18,977.8400268554688
2015-04-19,965.4299926757812
2015-04-20,961.2000122070312
2015-04-21,967.9299926757812
2015-04-22,962.0
2015-04-23,959.0
2015-04-24,957.6199951171876
2015-04-25,953.0
2015-04-26,956.0
2015-04-27,969.4099731445312
2015-04-28,981.0
2015-04-29,984.5
2015-04-30,976.77001953125
2015-05-01,971.8400268554688
2015-05-02,980.5900268554688
2015-05-03,979.8800048828124
2015-05-04,981.9400024414062
2015-05-05,984.6699829101562
2015-05-06,1000.0
2015-05-07,998.5599975585938
2015-05-08,996.25
2015-05-09,992.7899780273438
2015-05-10,978.239990234375
2015-05-11,974.8099975585938
2015-05-12,971.7000122070312
2015-05-13,965.6099853515624
2015-05-14,949.4199829101562
2015-05-15,948.6300048828124
2015-05-16,955.2999877929688
2015-05-17,959.7000122070312
2015-05-18,964.8300170898438
2015-05-19,967.3099975585938
2015-05-20,963.6900024414062
2015-05-21,967.7899780273438
2015-05-22,981.510009765625
2015-05-23,995.75
2015-05-24,998.5
2015-05-25,997.9500122070312
